,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,label
29,2,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,c
30,3,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026000000000000002,c
31,1,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,c
32,2,0.59,0.5,0.2,1.187,0.41200000000000003,0.2705,0.37,c
33,2,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,c
34,2,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,c
35,2,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,c
36,1,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,c
37,2,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,c
38,1,0.565,0.455,0.175,1.013,0.342,0.207,0.35,c
39,2,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,c
40,3,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,c
41,3,0.2,0.145,0.06,0.037000000000000005,0.0125,0.0095,0.011000000000000001,c
42,3,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,c
43,1,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,c
44,2,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,c
45,1,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,c
46,2,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,c
47,1,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,c
48,3,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,c
49,1,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,c
50,2,0.59,0.45,0.185,1.2830000000000001,0.473,0.276,0.425,c
51,1,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,c
52,2,0.635,0.515,0.17,1.275,0.509,0.28600000000000003,0.34,c
53,2,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,c
54,1,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,c
55,2,0.745,0.585,0.215,2.499,0.9265,0.47200000000000003,0.7,c
56,1,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,c
57,2,0.605,0.49,0.18,1.227,0.48,0.287,0.35,c
58,1,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,c
59,1,0.6,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295,c
60,2,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,c
61,1,0.69,0.56,0.215,1.719,0.68,0.299,0.47,c
62,1,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,c
63,1,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5,c
64,1,0.68,0.58,0.2,1.787,0.585,0.45299999999999996,0.6,c
65,1,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,c
66,2,0.59,0.485,0.12,0.9109999999999999,0.39,0.182,0.29,c
67,1,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,c
68,2,0.63,0.515,0.165,1.3519999999999999,0.488,0.349,0.45,c
69,1,0.63,0.5,0.155,1.005,0.36700000000000005,0.19899999999999998,0.36,c
70,1,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,c
71,2,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,c
72,1,0.56,0.455,0.125,0.943,0.344,0.129,0.375,c
73,1,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,c
74,1,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,c
75,2,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,c
76,2,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,c
77,2,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,c
78,1,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,c
79,2,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,c
80,1,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,c
81,2,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,c
82,1,0.675,0.535,0.16,1.41,0.5920000000000001,0.3175,0.42,c
83,1,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,c
84,1,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,c
85,2,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,c
86,2,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,c
87,2,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,c
88,2,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,c
89,2,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,c
90,1,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,c
91,2,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,c
92,1,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,c
93,2,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,c
94,1,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,c
95,1,0.62,0.52,0.225,1.1835,0.37799999999999995,0.27,0.395,c
96,1,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,c
97,3,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,c
98,2,0.325,0.23,0.09,0.147,0.06,0.034,0.045,c
99,2,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,c
100,2,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,c
101,2,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,c
102,2,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,c
103,3,0.53,0.42,0.185,0.752,0.299,0.156,0.205,c
104,3,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,c
105,3,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,c
106,1,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,c
107,1,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,c
108,1,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,c
109,1,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,c
110,3,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205,c
111,1,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,c
112,1,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,c
113,3,0.535,0.42,0.145,0.9259999999999999,0.39799999999999996,0.1965,0.25,c
114,2,0.195,0.145,0.05,0.032,0.01,0.008,0.012,c
115,3,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998,c
116,3,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195,c
117,1,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,c
118,3,0.53,0.415,0.145,0.9440000000000001,0.3845,0.185,0.265,c
119,1,0.59,0.45,0.16,0.9,0.358,0.156,0.315,c
120,1,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,c
121,1,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,c
122,3,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,c
123,3,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,c
124,3,0.45,0.355,0.12,0.41200000000000003,0.1145,0.0665,0.16,c
125,1,0.5,0.38,0.155,0.655,0.2405,0.14300000000000002,0.205,c
126,1,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24,c
127,2,0.49,0.39,0.15,0.573,0.225,0.124,0.17,c
128,1,0.49,0.385,0.15,0.7865,0.24100000000000002,0.14,0.24,c
129,1,0.52,0.395,0.18,0.64,0.158,0.11,0.245,c
130,1,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,c
131,2,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,c
132,1,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,c
133,3,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,c
134,3,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,c
135,1,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,c
136,3,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,c
137,3,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,c
138,3,0.16,0.11,0.025,0.018000000000000002,0.0065,0.0055,0.005,c
139,1,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,c
140,2,0.525,0.425,0.12,0.8665,0.2825,0.17600000000000002,0.29,c
141,1,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,c
142,2,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,c
143,1,0.53,0.42,0.13,1.001,0.34,0.226,0.265,c
144,1,0.66,0.52,0.2,1.676,0.6729999999999999,0.4805,0.45,c
145,2,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,c
146,2,0.615,0.525,0.155,1.1375,0.36700000000000005,0.23600000000000002,0.37,c
147,1,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,c
148,1,0.54,0.44,0.135,0.9590000000000001,0.2385,0.221,0.3,c
149,1,0.53,0.425,0.17,0.9490000000000001,0.3485,0.2395,0.278,c
150,1,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,c
151,2,0.655,0.58,0.205,2.0805,0.9590000000000001,0.3415,0.601,c
152,2,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,c
153,3,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,c
154,3,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,c
155,3,0.28,0.12,0.075,0.11699999999999999,0.0455,0.028999999999999998,0.0345,c
156,3,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,c
157,3,0.185,0.13,0.045,0.028999999999999998,0.012,0.0075,0.0095,c
158,3,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011000000000000001,c
159,3,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,c
160,3,0.2,0.155,0.04,0.0435,0.0155,0.009000000000000001,0.006999999999999999,c
161,3,0.225,0.165,0.055,0.059000000000000004,0.027000000000000003,0.0125,0.015,c
162,3,0.245,0.18,0.065,0.071,0.03,0.013000000000000001,0.0215,c
163,3,0.245,0.205,0.06,0.0765,0.034,0.013999999999999999,0.0215,c
164,3,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,c
165,3,0.14,0.105,0.035,0.013999999999999999,0.0055,0.0025,0.004,c
166,3,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036000000000000004,c
167,3,0.24,0.18,0.055,0.0555,0.0235,0.013000000000000001,0.018000000000000002,c
168,1,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,c
169,3,0.135,0.13,0.04,0.028999999999999998,0.0125,0.0065,0.008,c
170,3,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,c
171,2,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,c
172,2,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,c
173,2,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,c
174,3,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,c
175,3,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001,c
176,1,0.57,0.465,0.18,0.9995,0.405,0.27699999999999997,0.295,c
177,1,0.745,0.585,0.19,1.966,0.8435,0.43700000000000006,0.5855,c
178,2,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,c
179,2,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,c
180,2,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,c
181,1,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,c
182,3,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,c
183,1,0.57,0.45,0.17,1.0979999999999999,0.414,0.187,0.405,c
184,1,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,c
185,2,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,c
186,1,0.68,0.55,0.2,1.5959999999999999,0.525,0.4075,0.585,c
187,1,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,c
188,2,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,c
189,2,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,c
190,1,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,c
191,1,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,c
192,2,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,c
193,2,0.565,0.47,0.195,1.1420000000000001,0.387,0.258,0.35,c
194,2,0.63,0.51,0.23,1.5390000000000001,0.5635,0.2815,0.57,c
195,2,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,c
196,2,0.595,0.475,0.17,1.0965,0.419,0.22899999999999998,0.35,c
197,2,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,c
198,1,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,c
199,1,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,c
200,2,0.655,0.525,0.185,1.2590000000000001,0.48700000000000004,0.2215,0.445,c
201,1,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,c
202,1,0.55,0.415,0.135,0.775,0.302,0.179,0.26,c
203,1,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,c
204,2,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,c
205,2,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,c
206,1,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,c
207,1,0.8,0.63,0.195,2.526,0.9329999999999999,0.59,0.62,c
208,2,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,c
209,1,0.565,0.48,0.175,0.9570000000000001,0.3885,0.215,0.275,c
210,2,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,c
211,2,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455,c
212,2,0.67,0.55,0.17,1.247,0.47200000000000003,0.2455,0.4,c
213,1,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,c
214,2,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,c
215,2,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,c
216,2,0.7,0.53,0.19,1.3185,0.5479999999999999,0.233,0.42,c
217,1,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,c
218,2,0.585,0.455,0.125,1.0270000000000001,0.391,0.212,0.25,c
219,1,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,c
220,1,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,c
221,2,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,c
222,2,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,c
223,1,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,c
224,2,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,c
225,1,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,c
226,1,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,c
227,3,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,c
228,1,0.53,0.43,0.17,0.775,0.35,0.152,0.235,c
229,3,0.44,0.355,0.165,0.435,0.159,0.105,0.14,c
230,2,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,c
231,1,0.465,0.35,0.13,0.494,0.1945,0.10300000000000001,0.155,c
232,1,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485,c
233,1,0.66,0.515,0.18,1.5230000000000001,0.54,0.3365,0.555,c
234,3,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,c
235,2,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,c
236,1,0.515,0.4,0.17,0.7959999999999999,0.258,0.1755,0.28,c
237,3,0.2,0.145,0.05,0.036000000000000004,0.0125,0.008,0.011000000000000001,c
238,1,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,c
239,2,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,c
240,2,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,c
241,2,0.565,0.44,0.175,1.122,0.39299999999999996,0.2,0.375,c
242,2,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,c
243,2,0.54,0.41,0.145,0.9890000000000001,0.2815,0.213,0.355,c
244,3,0.205,0.15,0.065,0.04,0.02,0.011000000000000001,0.013000000000000001,c
245,3,0.225,0.17,0.07,0.0565,0.024,0.013000000000000001,0.016,c
246,3,0.275,0.195,0.07,0.0875,0.0345,0.022000000000000002,0.0255,c
247,3,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,c
248,3,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,c
249,3,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,c
250,3,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,c
251,3,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,c
252,3,0.275,0.2,0.055,0.0925,0.038,0.021,0.026000000000000002,c
253,3,0.315,0.235,0.075,0.1285,0.051,0.027999999999999997,0.0405,c
254,3,0.255,0.185,0.065,0.07400000000000001,0.0305,0.0165,0.02,c
255,3,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,c
256,2,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,c
257,3,0.2,0.15,0.04,0.046,0.021,0.006999999999999999,0.0065,c
258,1,0.7,0.54,0.215,1.9780000000000002,0.6675,0.3125,0.71,c
259,1,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,c
260,1,0.64,0.54,0.175,1.571,0.627,0.271,0.475,c
261,2,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,c
262,2,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,c
263,1,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,c
264,1,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,c
265,1,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,c
266,2,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,c
267,2,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,c
268,2,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,c
269,2,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,c
270,2,0.635,0.51,0.155,1.156,0.428,0.289,0.315,c
271,1,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,c
272,2,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,c
273,2,0.565,0.45,0.115,0.9085,0.39799999999999996,0.19699999999999998,0.29,c
274,2,0.52,0.425,0.155,0.7735,0.297,0.12300000000000001,0.255,c
275,1,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,c
276,1,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565,c
277,2,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,c
278,2,0.645,0.5,0.19,1.229,0.524,0.278,0.395,c
279,2,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,c
280,1,0.615,0.5,0.205,1.1055,0.4445,0.22699999999999998,0.39,c
281,1,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,c
282,3,0.6,0.445,0.175,1.057,0.38299999999999995,0.21600000000000003,0.355,c
283,1,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,c
284,2,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,c
285,2,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,c
286,1,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,c
287,1,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,c
288,3,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,c
289,1,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,c
290,3,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,c
291,3,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,c
292,1,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,c
293,3,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,c
294,3,0.61,0.46,0.17,1.278,0.41,0.257,0.37,c
295,3,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,c
296,2,0.54,0.405,0.155,0.9715,0.3225,0.19399999999999998,0.29,c
297,2,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,c
298,2,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,c
299,2,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,c
300,2,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,c
301,2,0.605,0.475,0.16,1.6159999999999999,0.5495,0.332,0.34,c
302,2,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,c
303,3,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,c
304,3,0.165,0.12,0.05,0.021,0.0075,0.0045,0.013999999999999999,c
305,3,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013000000000000001,c
306,3,0.215,0.15,0.055,0.040999999999999995,0.015,0.009000000000000001,0.0125,c
307,3,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,c
308,3,0.26,0.205,0.07,0.09699999999999999,0.0415,0.019,0.0305,c
309,3,0.175,0.125,0.04,0.027999999999999997,0.0095,0.008,0.009000000000000001,c
310,3,0.205,0.155,0.045,0.0495,0.0235,0.011000000000000001,0.013999999999999999,c
311,3,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,c
312,2,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,c
313,2,0.655,0.515,0.2,1.3730000000000002,0.44299999999999995,0.3375,0.49,c
314,1,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,c
315,2,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,c
316,2,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,c
317,2,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,c
318,1,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,c
319,3,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,c
320,3,0.16,0.12,0.02,0.018000000000000002,0.0075,0.0045,0.005,c
321,2,0.635,0.48,0.235,1.064,0.413,0.228,0.36,c
322,2,0.575,0.47,0.165,0.853,0.292,0.179,0.35,c
323,2,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,c
324,3,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26,c
325,1,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,c
326,1,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,c
327,1,0.65,0.515,0.215,1.4980000000000002,0.564,0.32299999999999995,0.425,c
328,1,0.67,0.535,0.185,1.597,0.6275,0.35,0.47,c
329,3,0.55,0.44,0.165,0.8605,0.312,0.16899999999999998,0.3,c
330,2,0.55,0.44,0.16,0.991,0.348,0.168,0.375,c
331,2,0.475,0.365,0.14,0.6175,0.20199999999999999,0.1445,0.19,c
332,3,0.27,0.205,0.075,0.11800000000000001,0.059000000000000004,0.031,0.0305,c
333,3,0.185,0.135,0.045,0.032,0.011000000000000001,0.0065,0.01,c
334,3,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,c
335,2,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,b
336,1,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21,b
337,2,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,b
338,1,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,b
339,2,0.59,0.445,0.14,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28,b
340,2,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,b
341,1,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,b
342,1,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,b
343,1,0.55,0.425,0.135,0.8515,0.36200000000000004,0.196,0.27,b
344,3,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,b
345,3,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,b
346,3,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,b
347,1,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,b
348,1,0.595,0.495,0.185,1.285,0.41600000000000004,0.22399999999999998,0.485,b
349,3,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,b
350,2,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,b
351,1,0.605,0.45,0.195,1.0979999999999999,0.48100000000000004,0.2895,0.315,b
352,1,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,b
353,1,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,b
354,2,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,b
355,2,0.58,0.45,0.14,1.013,0.38,0.21600000000000003,0.36,b
356,1,0.57,0.465,0.18,1.295,0.33899999999999997,0.2225,0.44,b
357,2,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,b
358,1,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,b
359,2,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,b
360,2,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,b
361,2,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,b
362,2,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,b
363,2,0.665,0.535,0.195,1.6059999999999999,0.5755,0.38799999999999996,0.48,b
364,2,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255,b
365,2,0.53,0.435,0.16,0.883,0.316,0.16399999999999998,0.335,b
366,2,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,b
367,1,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,b
368,1,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,b
369,2,0.37,0.265,0.075,0.214,0.09,0.051,0.07,b
